1A-232-P1	10	13	76.92	7
1D-215-R1	10	11	90.91	7
1D-21H-P1	8	8	100.00	4
1D-21J-P1	4	8	50.00	4
1D-21K-P1	8	8	100.00	4
1D-21L-P1	0	1	0.00	1
1D-21M-P1	4	8	50.00	4
1D-21N-P1	3	3	100.00	3
1D-21P-P1	9	9	100.00	5
1D-271A-P1	3	4	75.00	4
1D-323-P1	2	2	100.00	2
1D-324-P1	2	2	100.00	2
1D-327-P1	2	2	100.00	2
1D-328-P1	2	2	100.00	2
1D-329-P1	2	2	100.00	2
1D-32A-P1	2	2	100.00	2
1D-32C-P1	4	4	100.00	2
1D-32F-P1	4	4	100.00	2
1D-32G-P1	4	4	100.00	2
1D-32H-P1	4	4	100.00	2
1D-32J-P1	4	4	100.00	2
1E-326-P1	1	1	100.00	1
1M-211-P1	4	7	57.14	4
1M-211-P2	6	6	100.00	5
1M-215-P1	7	7	100.00	4
1M-215-P2	10	11	90.91	7
1M-216-P1	7	7	100.00	4
1M-216-P2	10	11	90.91	7
1M-21H-P1	7	7	100.00	4
1M-21H-P2	9	10	90.00	6
1M-21J-P1	4	5	80.00	3
1M-21N-P1	18	18	100.00	9
1M-21Q-P1	14	14	100.00	8
1M-21R-P1	11	11	100.00	6
1M-21R-P2	9	9	100.00	6
1M-21R-P3	7	7	100.00	4
1M-21S-P1	8	8	100.00	5
1P-311-P1	17	58	29.31	29
1P-312-P1	18	70	25.71	29
1P-313-P1	8	12	66.67	11
1P-314-P1	20	24	83.33	13
1P-315-P1	8	12	66.67	11
1P-316-P1	5	9	55.56	9
1P-341-P1	2	2	100.00	2
1P-342-P1	2	2	100.00	2
1U-211-P1	143	152	94.08	127
1U-231-R1	50	66	75.76	54
1U-233-P1	29	45	64.44	35
1U-23A-P1	2	2	100.00	2
1U-23B-P1	21	21	100.00	21
1U-23D-P1	4	4	100.00	3
1U-24Q-R1	23	24	95.83	20
1U-271D-P1	112	120	93.33	99
1U-274A-P1	33	37	89.19	21
1U-274A-P2	33	33	100.00	21
1U-274A-P3	34	34	100.00	32
1U-274A-P4	50	51	98.04	42
1U-274A-P5	16	20	80.00	11
1U-274A-P6	19	19	100.00	15
1U-274A-P8	11	12	91.67	7
1U-275A-P1	27	27	100.00	17
1U-275A-P2	15	19	78.95	13
1U-275A-P3	19	19	100.00	17
1U-275A-P4	50	50	100.00	36
1U-275A-P5	19	20	95.00	11
1U-275A-P6	14	19	73.68	15
1U-275A-P8	8	12	66.67	7
1U-30A-P1	32	37	86.49	20
1U-321-P1	108	117	92.31	91
1U-341-P1	108	119	90.76	51
1U-343-R1	13	27	48.15	22
1U-345-R1	21	23	91.30	13
1U-349-P1	7	7	100.00	7
1U-34B-P1	47	50	94.00	29
1U-34D-P4	0	2	0.00	2
2D-215-R1	10	11	90.91	7
2D-21H-P1	8	8	100.00	4
2D-21J-P1	8	8	100.00	4
2D-21K-P1	8	8	100.00	4
2D-21L-P1	0	1	0.00	1
2D-21M-P1	8	8	100.00	4
2D-21N-P1	1	3	33.33	3
2D-21P-P1	6	6	100.00	5
2D-271A-P1	4	4	100.00	4
2D-323-P1	4	4	100.00	2
2D-324-P1	4	4	100.00	2
2D-327-P1	4	4	100.00	2
2D-328-P1	4	4	100.00	2
2D-329-P1	4	4	100.00	2
2D-32A-P1	2	4	50.00	2
2D-32C-P1	4	4	100.00	2
2D-32F-P1	4	4	100.00	2
2D-32G-P1	4	4	100.00	2
2D-32H-P1	4	4	100.00	2
2D-32J-P1	4	4	100.00	2
2E-326-P1	1	1	100.00	1
2M-211-P1	7	7	100.00	4
2M-211-P2	6	6	100.00	5
2M-215-P1	4	7	57.14	4
2M-215-P2	9	10	90.00	6
2M-216-P1	7	7	100.00	4
2M-216-P2	10	11	90.91	7
2M-21H-P1	7	7	100.00	4
2M-21H-P2	8	9	88.89	6
2M-21J-P1	5	5	100.00	3
2M-21N-P1	19	19	100.00	9
2M-21Q-P1	14	14	100.00	8
2M-21R-P1	5	11	45.45	6
2M-21R-P2	8	17	47.06	9
2M-21R-P3	3	7	42.86	4
2M-21S-P1	8	8	100.00	5
2P-311-P1	19	38	50.00	29
2P-312-P1	13	32	40.62	25
2P-313-P1	7	12	58.33	11
2P-314-P1	20	24	83.33	13
2P-315-P1	7	12	58.33	11
2P-341-P1	3	3	100.00	3
2P-342-P1	1	2	50.00	2
2U-211-P1	120	142	84.51	131
2U-231-R1	29	39	74.36	36
2U-23A-P1	2	2	100.00	2
2U-23B-P1	23	23	100.00	17
2U-24Q-R1	15	15	100.00	15
2U-271D-P1	111	126	88.10	105
2U-274A-P1	29	34	85.29	18
2U-274A-P2	26	31	83.87	21
